#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6383650;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;13 ;".";1;1;COM3;;
6383660;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;cc ;"Ã";1;1;COM3;;
6383686;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6383698;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383710;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383722;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6383734;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;14 ;".";1;1;COM3;;
6383746;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;cb ;"À";1;1;COM3;;
6383770;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6383779;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383791;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383803;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6383818;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;15 ;".";1;1;COM3;;
6383830;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;ca ;" ";1;1;COM3;;
6383854;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6383863;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383876;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383887;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6383902;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;16 ;".";1;1;COM3;;
6383914;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;c9 ;"…";1;1;COM3;;
6383938;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6383947;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383962;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383971;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6383983;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;18 ;".";1;1;COM3;;
6383995;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;c7 ;"«";1;1;COM3;;
6384022;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6384031;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6384046;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6384058;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6384070;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
