#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6374262;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a4 ;"§";1;1;COM3;;
6374286;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374298;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374310;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374321;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374334;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;15 ;".";1;1;COM3;;
6374345;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a4 ;"§";1;1;COM3;;
6374370;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374381;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374394;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374406;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374418;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;16 ;".";1;1;COM3;;
6374430;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a3 ;"£";1;1;COM3;;
6374454;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374466;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374478;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374488;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374502;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;16 ;".";1;1;COM3;;
6374514;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a3 ;"£";1;1;COM3;;
6374538;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374549;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374562;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374573;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374586;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;18 ;".";1;1;COM3;;
6374598;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a1 ;"°";1;1;COM3;;
6374622;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374634;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374646;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374658;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374670;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6374682;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a0 ;"†";1;1;COM3;;
6374706;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374718;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374730;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374742;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374754;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;1a ;".";1;1;COM3;;
6374766;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6374790;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
