#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6658356;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6658368;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;8e ;"Ž";1;1;COM3;;
6658380;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;33 ;"3";1;1;COM3;;
6658392;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;3e ;">";1;1;COM3;;
6658538;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6658550;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;87 ;"‡";1;1;COM3;;
6658562;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6658574;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;78 ;"x";1;1;COM3;;
6658694;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6658706;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6658718;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;bb ;"»";1;1;COM3;;
6658730;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6658739;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;2a ;"*";1;1;COM3;;
6658754;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6658763;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6658775;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;bb ;"»";1;1;COM3;;
6658790;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6658802;05/05/2020 21:18:01;IRP_MJ_WRITE;DOWN;;2b ;"+";1;1;COM3;;
6658822;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6658834;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;8e ;"Ž";1;1;COM3;;
6658846;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;32 ;"2";1;1;COM3;;
6658858;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;3f ;"?";1;1;COM3;;
6659034;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6659045;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;8e ;"Ž";1;1;COM3;;
6659057;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;33 ;"3";1;1;COM3;;
6659070;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;3e ;">";1;1;COM3;;
6659216;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6659228;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;87 ;"‡";1;1;COM3;;
6659240;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6659252;05/05/2020 21:18:02;IRP_MJ_WRITE;DOWN;;78 ;"x";1;1;COM3;;
6659358;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6659370;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6659382;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;bb ;"»";1;1;COM3;;
6659394;05/05/2020 21:18:06;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
