#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6686626;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686638;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;33 ;"3";1;1;COM3;;
6686650;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;32 ;"2";1;1;COM3;;
6686679;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 ;".";1;;COM3;;
6686693;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;32 00 33 9a ;"2.3ö";4;;COM3;;
6686700;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686712;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6686724;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686736;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;34 ;"4";1;1;COM3;;
6686748;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;31 ;"1";1;1;COM3;;
6686777;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 34 99 ;".2.4ô";5;;COM3;;
6686784;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686796;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6686808;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686820;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;35 ;"5";1;1;COM3;;
6686832;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;30 ;"0";1;1;COM3;;
6686861;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 ;".";1;;COM3;;
6686875;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;32 00 35 98 ;"2.5ò";4;;COM3;;
6686882;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686894;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6686906;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6686918;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;36 ;"6";1;1;COM3;;
6686930;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2f ;"/";1;1;COM3;;
6686959;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 36 97 ;".2.6ó";5;;COM3;;
6686966;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6686978;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6686990;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687002;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;37 ;"7";1;1;COM3;;
6687014;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;2e ;".";1;1;COM3;;
6687043;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 ;".2";2;;COM3;;
6687057;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;00 37 96 ;".7ñ";3;;COM3;;
6687064;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6687076;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6687088;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6687099;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;38 ;"8";1;1;COM3;;
